                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.30087,                0.56017,                 0.8377,                0.99174,                      1,                  0.995,                0.95113,                0.28023,                0.51335,                 0.7363,             0.00028072,             0.00028072,             0.00028072
                     87,                 0.2981,                0.99169,                0.76186,                0.99137,                      1,                  0.995,                0.95113,                0.28159,                 0.5046,                0.73789,             0.00026422,             0.00026422,             0.00026422
                     88,                0.33141,                0.56577,                0.86568,                0.99034,                      1,                  0.995,                0.95113,                0.28504,                0.48785,                0.73973,             0.00024772,             0.00024772,             0.00024772
                     89,                0.28712,                0.58548,                0.83764,                0.98967,                      1,                  0.995,                0.95388,                0.28373,                0.47746,                0.74102,             0.00023121,             0.00023121,             0.00023121
                     90,                0.32771,                0.57988,                0.86827,                0.98966,                      1,                  0.995,                0.96786,                0.28596,                0.48531,                0.74303,             0.00021471,             0.00021471,             0.00021471
                     91,                0.28851,                0.69619,                0.81464,                0.99232,                      1,                  0.995,                 0.9707,                0.29125,                0.49984,                0.74449,             0.00019821,             0.00019821,             0.00019821
                     92,                0.27572,                0.69821,                0.80558,                0.99156,                      1,                  0.995,                 0.9707,                0.29326,                0.50523,                0.74329,              0.0001817,              0.0001817,              0.0001817
                     93,                0.28876,                0.99297,                0.77744,                0.99283,                      1,                  0.995,                 0.9707,                0.29449,                0.51053,                0.74283,              0.0001652,              0.0001652,              0.0001652
                     94,                0.24857,                0.63701,                0.81947,                0.99283,                      1,                  0.995,                 0.9707,                0.29449,                0.51053,                0.74283,              0.0001487,              0.0001487,              0.0001487
                     95,                0.24492,                0.68463,                0.80385,                0.98965,                      1,                  0.995,                 0.9707,                0.29137,                0.52588,                0.74156,             0.00013219,             0.00013219,             0.00013219
                     96,                0.22023,                0.67021,                0.76908,                0.98725,                      1,                  0.995,                0.96786,                0.28336,                0.53829,                0.74023,             0.00011569,             0.00011569,             0.00011569
                     97,                0.25639,                0.69444,                0.78314,                0.98676,                      1,                  0.995,                0.96786,                0.27365,                0.53852,                0.73844,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.25824,                0.69021,                0.78584,                0.98652,                      1,                  0.995,                0.96511,                 0.2684,                0.53439,                0.73772,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.22217,                0.67648,                0.78989,                0.98712,                      1,                  0.995,                0.96511,                0.26512,                0.52586,                 0.7369,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.22231,                0.64008,                0.76498,                0.98703,                      1,                  0.995,                0.96511,                0.26291,                 0.5186,                0.73608,             4.9677e-05,             4.9677e-05,             4.9677e-05
